perplexity,perplexity_std,char_std,word_std,intrinsic_dimensions,temporal_burstiness,syntactic_burstiness,wd_burstiness,semantic_burstiness,sentence_burstiness,word_burstiness,syntax_burstiness,unique_words,syntactic_depth,syntactic_repetitiveness,ai,title,topic,section,words,chars
10.25337601,7.525922949,31.48930594,5.760859311,10.53597054,2.920151207,13.04204431,0.004106784,0.184730798,1.397368421,0.036624438,0.072436539,0.510574018,7.666666667,0.487211654,1,Gwalior,Geography,Central India,285,1826
10.54620266,6.559134126,35.80618165,5.082785727,9.449130157,1.817696511,19.04882459,0.004133349,2.1e-08,1.025174825,0.035954418,0.071450842,0.537974684,7.181818182,0.532118001,1,Bohemian Rhapsody,Arts,Modern,260,1718
12.09762669,5.267745973,28.51945608,3.201562119,10.56387874,0.997905122,17.07692308,0.004715192,0.214207515,0.418367347,0.033521973,0.071021054,0.611111111,6.875,0.477002919,1,Dark ride,Everyday life,Amusement parks,196,1395
9.613305092,6.931073041,34.36406392,4.872684635,8.946499743,1.296636925,17.22267206,0.004501015,0.079088351,1.212411348,0.042683348,0.097689161,0.530075188,6.083333333,0.4859775,1,Ephedrine,Biology and health sciences,Specific drugs,235,1619
11.18359756,8.301455308,79.67702662,11.92942683,11.74586857,2.28884981,15.63715847,0.004365327,0.159529765,2.033085502,0.030884064,0.092317791,0.540983607,7.4,0.451056735,1,A. Philip Randolph,People,United States_4,269,1770
15.04418659,7.165678046,47.44314567,6.389710664,10.43219715,2.699027409,26.106929,0.003786899,0.101013188,1.830238727,0.038391653,0.107527961,0.550898204,6.615384615,0.483603468,1,Chalcolithic,History,Ancient: General,290,2042
10.17933464,5.019736113,35.67808319,5.756778254,9.853375902,2.418711527,13.75653976,0.004160785,0.205662554,1.360244233,0.036544961,0.082855782,0.558922559,7.363636364,0.473401909,1,Easter Island,Geography,South America_3,268,1737
9.059487343,3.817705948,65.58388593,10.32877504,11.26737178,2.406433769,16.84826055,0.003559724,0.118849741,2.609923011,0.037085927,0.09640337,0.546632124,7.357142857,0.378737343,1,Abby Wambach,People,Others,334,2176
10.46393681,5.50383363,33.87332791,5.711829829,10.68705231,2.548988622,21.33095238,0.003567804,0.209334259,1.236904762,0.038733833,0.087133165,0.538265306,6.533333333,0.48532829,1,Amiens,Geography,France,336,2254
12.69232273,11.32378115,37.01462744,5.693261204,12.39898816,1.225966181,14.98359414,0.004383512,0.173428143,1.465195892,0.039240766,0.088215436,0.558303887,5.545454545,0.484868678,1,Hole (band),People,Alternative rock,239,1589
9.878038406,3.939556843,33.95465163,4.920282886,8.895448112,1.242478606,22.00350789,0.004316165,0.107140723,1.278975741,0.046408686,0.101373058,0.527687296,6.071428571,0.514423015,1,Frostbite,Biology and health sciences,Injury,265,1848
13.45351315,9.812539563,44.75201734,7.98044485,10.49876922,2.987929062,14.79108822,0.003939644,0.099137363,2.681578947,0.038978664,0.094981033,0.539184953,6.416666667,0.372929348,1,Dunkirk evacuation,History,World War II,285,1887
10.63562202,4.864537419,30.60108338,4.064669968,10.8690358,2.452861823,32.81768034,0.003051224,0.082322456,0.828048642,0.044562891,0.087880026,0.512871287,6.047619048,0.480868671,1,Bacteria,Biology and health sciences,Biology,419,3116
13.66207218,11.96383793,39.41268038,6.392133838,10.97094417,1.164727943,12.94028103,0.004586239,0.196402331,1.57910628,0.032419098,0.084662827,0.610655738,6.625,0.415562696,1,Aki Kaurismäki,People,Europe_4,207,1394
10.45934772,3.71537274,41.86325186,6.482450205,10.8935897,4.389852336,19.24456202,0.003254856,1.16e-07,1.878637771,0.043140642,0.09232685,0.456790123,6.842105263,0.455594989,1,Dutch language,Society and social sciences,Germanic languages,425,2886
12.14223766,6.988910695,30.17029853,3.972125096,9.000523249,1.92541806,14.14502165,0.004466058,0.160529626,0.728205128,0.036692385,0.070694661,0.593073593,7.0,0.540229112,1,Arthur Koestler,People,UK and Ireland,195,1366
10.29499531,6.082576779,34.68352268,6.443197413,10.93969876,2.647408362,20.77168142,0.00378645,0.168450773,1.873931624,0.03955229,0.104867149,0.539823009,6.384615385,0.459880632,1,Haridwar,Geography,North India,288,1867
10.03495598,3.218767094,41.19857175,6.035706426,11.79191314,0.867659396,17.08936579,0.0046818,0.142755185,2.087121212,0.045637524,0.088291395,0.614349776,6.0,0.511355226,1,Dieting,Everyday life,Basics,192,1348
15.43421555,6.964478057,32.6295878,5.008991915,9.14356654,1.872666622,15.78039216,0.004373113,0.176646575,1.200478469,0.038095025,0.081321834,0.579831933,6.1,0.491232335,1,Aldus Manutius,People,Media and communication,209,1444
13.52608776,5.418116893,35.70597522,5.867098048,9.62921274,2.282447398,22.10788804,0.003559545,0.153318455,1.81547619,0.045884169,0.097499563,0.531806616,6.0,0.487551163,1,Jean-Baptiste Colbert,People,Other_2,336,2428
14.81760883,8.684990077,25.8889938,4.006245125,11.23195382,1.166622118,16.30224579,0.004700985,0.163667801,0.782926829,0.04119646,0.092241623,0.593886463,5.8,0.471027535,1,Army ant,Biology and health sciences,Hymenoptera,205,1359
11.18428612,2.663049548,27.51888908,4.887156384,10.49407908,2.567516179,19.61309524,0.003853704,5.98e-08,0.902842862,0.033244035,0.089236575,0.529761905,7.090909091,0.499262986,1,Celtic art,Arts,Prehistoric and ancient art,291,1957
10.77234554,4.459236506,32.3656792,4.265952075,10.79614146,1.862799869,16.37211538,0.004267882,0.158732304,0.735962567,0.034340105,0.074088776,0.540625,8.272727273,0.500737217,1,Anthony Braxton,People,Jazz and related genres,272,1928
12.95625591,4.460463405,46.43716184,5.273518749,9.162639375,1.395092059,17.7364532,0.004301644,0.210255399,1.225110132,0.036205888,0.0743464,0.590038314,6.6,0.466034187,1,C4 carbon fixation,Biology and health sciences,Basics,227,1626
14.88591671,7.854832758,30.98269678,4.455053311,10.58793967,2.758765044,35.97739251,0.003041376,0.179411002,0.900113379,0.040368035,0.083130922,0.477669903,6.7,0.501557315,1,Chinese opera,Arts,Theatre,441,3100
9.921399117,4.938051965,39.55414785,5.845371446,8.333439661,1.421723142,25.42673993,0.004366059,0.160458901,2.03556231,0.047734344,0.112219514,0.545787546,5.714285714,0.534557664,1,Fertilizer,Technology,Food and health,235,1760
12.50379181,10.70422705,35.40488911,6.734836649,10.20066549,1.277958668,9.417748918,0.00445114,0.157201736,2.02090209,0.035562423,0.076860468,0.623376623,6.555555556,0.461036774,1,George Steinbrenner,People,Baseball_2,202,1406
11.66306114,7.131759831,26.70321569,3.744955455,10.24093259,1.695251484,12.41951881,0.0047366,2.7e-08,0.650630011,0.039468809,0.07290069,0.537444934,7.111111111,0.500104554,1,Gurdwara,Philosophy and religion,Sikhism,194,1273
12.596385,5.274936702,53.10352507,8.613216588,9.909111432,2.999300699,18.72325742,0.003680994,0.165938362,3.260989011,0.04093663,0.096095132,0.487922705,6.5,0.420535197,1,Canaan Banana,People,Zimbabwe and Rhodesia,364,2400
8.780879974,5.343178682,48.92170616,7.182153809,10.34266319,3.133333333,25.89348371,0.003382046,0.183384076,1.40495356,0.038123621,0.094698673,0.48245614,7.176470588,0.451228639,1,Economy of South Korea,Society and social sciences,Economy by country,380,2716
